Time  s.  d...  o
 505  001  11111001  1
 506  001  11111010  1
 507  001  11111011  1
 508  001  11111100  1
 509  001  11111101  1
 510  001  11111110  1
 511  001  11111111  1
 512  011  00000000  0
 513  011  00000001  0
 514  011  00000010  0
 515  011  00000011  0
 516  011  00000100  0
 517  011  00000101  0
 518  011  00000110  0
 519  011  00000111  0
 520  011  00001000  0
 521  011  00001001  0
 522  011  00001010  0
 523  011  00001011  0
 524  011  00001100  0
 525  011  00001101  0
 526  011  00001110  0
 527  011  00001111  0
 528  011  00010000  1
 529  011  00010001  1
 530  011  00010010  1
 531  011  00010011  1
 532  011  00010100  1
 533  011  00010101  1
 534  011  00010110  1
 535  011  00010111  1
 536  011  00011000  1
 537  011  00011001  1
 538  011  00011010  1
 539  011  00011011  1
 540  011  00011100  1
 541  011  00011101  1
 542  011  00011110  1
 543  011  00011111  1
 544  011  00100000  0
 545  011  00100001  0
 546  011  00100010  0
 547  011  00100011  0
 548  011  00100100  0
 549  011  00100101  0
 550  011  00100110  0
 551  011  00100111  0
 552  011  00101000  0
 553  011  00101001  0
 554  011  00101010  0
 555  011  00101011  0
 556  011  00101100  0
 557  011  00101101  0
 558  011  00101110  0
 559  011  00101111  0
 560  011  00110000  1
 561  011  00110001  1
 562  011  00110010  1
 563  011  00110011  1
 564  011  00110100  1
 565  011  00110101  1
 566  011  00110110  1
 567  011  00110111  1
 568  011  00111000  1
 569  011  00111001  1
 570  011  00111010  1
 571  011  00111011  1
 572  011  00111100  1
 573  011  00111101  1
 574  011  00111110  1
 575  011  00111111  1
 576  011  01000000  0
 577  011  01000001  0
 578  011  01000010  0
 579  011  01000011  0
 580  011  01000100  0
 581  011  01000101  0
 582  011  01000110  0
 583  011  01000111  0
 584  011  01001000  0
 585  011  01001001  0
 586  011  01001010  0
 587  011  01001011  0
 588  011  01001100  0
 589  011  01001101  0
 590  011  01001110  0
 591  011  01001111  0
 592  011  01010000  1
 593  011  01010001  1
 594  011  01010010  1
 595  011  01010011  1
 596  011  01010100  1
 597  011  01010101  1
 598  011  01010110  1
 599  011  01010111  1
 600  011  01011000  1
 601  011  01011001  1
 602  011  01011010  1
 603  011  01011011  1
 604  011  01011100  1
 605  011  01011101  1
 606  011  01011110  1
 607  011  01011111  1
 608  011  01100000  0
 609  011  01100001  0
 610  011  01100010  0
 611  011  01100011  0
 612  011  01100100  0
 613  011  01100101  0
 614  011  01100110  0
 615  011  01100111  0
 616  011  01101000  0
 617  011  01101001  0
 618  011  01101010  0
 619  011  01101011  0
 620  011  01101100  0
 621  011  01101101  0
 622  011  01101110  0
 623  011  01101111  0
 624  011  01110000  1
 625  011  01110001  1
 626  011  01110010  1
 627  011  01110011  1
 628  011  01110100  1
 629  011  01110101  1
 630  011  01110110  1
 631  011  01110111  1
 632  011  01111000  1
 633  011  01111001  1
 634  011  01111010  1
 635  011  01111011  1
 636  011  01111100  1
 637  011  01111101  1
 638  011  01111110  1
 639  011  01111111  1
 640  011  10000000  0
 641  011  10000001  0
 642  011  10000010  0
 643  011  10000011  0
 644  011  10000100  0
 645  011  10000101  0
 646  011  10000110  0
 647  011  10000111  0
 648  011  10001000  0
 649  011  10001001  0
 650  011  10001010  0
 651  011  10001011  0
 652  011  10001100  0
 653  011  10001101  0
 654  011  10001110  0
 655  011  10001111  0
 656  011  10010000  1
 657  011  10010001  1
 658  011  10010010  1
 659  011  10010011  1
 660  011  10010100  1
 661  011  10010101  1
 662  011  10010110  1
 663  011  10010111  1
 664  011  10011000  1
 665  011  10011001  1
 666  011  10011010  1
 667  011  10011011  1
 668  011  10011100  1
 669  011  10011101  1
 670  011  10011110  1
 671  011  10011111  1
 672  011  10100000  0
 673  011  10100001  0
 674  011  10100010  0
 675  011  10100011  0
 676  011  10100100  0
 677  011  10100101  0
 678  011  10100110  0
 679  011  10100111  0
 680  011  10101000  0
 681  011  10101001  0
 682  011  10101010  0
 683  011  10101011  0
 684  011  10101100  0
 685  011  10101101  0
 686  011  10101110  0
 687  011  10101111  0
 688  011  10110000  1
 689  011  10110001  1
 690  011  10110010  1
 691  011  10110011  1
 692  011  10110100  1
 693  011  10110101  1
 694  011  10110110  1
 695  011  10110111  1
 696  011  10111000  1
 697  011  10111001  1
 698  011  10111010  1
 699  011  10111011  1
 700  011  10111100  1
 701  011  10111101  1
 702  011  10111110  1
 703  011  10111111  1
 704  011  11000000  0
 705  011  11000001  0
 706  011  11000010  0
 707  011  11000011  0
 708  011  11000100  0
 709  011  11000101  0
 710  011  11000110  0
 711  011  11000111  0
 712  011  11001000  0
 713  011  11001001  0
 714  011  11001010  0
 715  011  11001011  0
 716  011  11001100  0
 717  011  11001101  0
 718  011  11001110  0
 719  011  11001111  0
 720  011  11010000  1
 721  011  11010001  1
 722  011  11010010  1
 723  011  11010011  1
 724  011  11010100  1
 725  011  11010101  1
 726  011  11010110  1
 727  011  11010111  1
 728  011  11011000  1
 729  011  11011001  1
 730  011  11011010  1
 731  011  11011011  1
 732  011  11011100  1
 733  011  11011101  1
 734  011  11011110  1
 735  011  11011111  1
 736  011  11100000  0
 737  011  11100001  0
 738  011  11100010  0
 739  011  11100011  0
 740  011  11100100  0
 741  011  11100101  0
 742  011  11100110  0
 743  011  11100111  0
